X,Y,TimeSinceZero,DateTime,AnimalID,Lat,Long,Speed(m/min),timeDays,timeOfDay,speedCategory,Speed(m/s),dayNum,area,Time,aggregateSpeed(m/min),timeNearby
582513.232428691,-2194915.19925267,417540,2024-01-06 01:59:00,1,-70.33824753839316,59.19772573303991,0.001947801446414688,4.832638888888889,night,0,3.254583378090632e-05,4,"(4, 24)",71940,0.0019468738034372286,5539
582513.23438136,-2194915.19915212,417600,2024-01-06 02:00:00,1,-70.33824753866183,59.197725785097504,0.001946657063958326,4.833333333333333,night,0,3.261783303756131e-05,4,"(4, 24)",72000,0.0019471215540474815,5539
582513.236329215,-2194915.19900584,417660,2024-01-06 02:01:00,1,-70.3382475393418,59.19772583707097,0.0019447513656524107,4.834027777777778,night,0,3.253974999939206e-05,4,"(4, 24)",72060,0.0019460801876683316,5539
582513.238283839,-2194915.1989126,417720,2024-01-06 02:02:00,1,-70.33824753954433,59.19772588917355,0.001948240110162103,4.834722222222222,night,0,3.2527863165109635e-05,4,"(4, 24)",72120,0.0019466312455448127,5539
582513.240237981,-2194915.19878815,417780,2024-01-06 02:03:00,1,-70.33824754002664,59.19772594129332,0.0019494901829148828,4.835416666666666,night,0,3.255380962628764e-05,4,"(4, 24)",72180,0.0019472759320862945,5539
582513.242192148,-2194915.19868063,417840,2024-01-06 02:04:00,1,-70.33824754035727,59.19772599339747,0.0019485155187219814,4.836111111111111,night,0,3.252908017191699e-05,4,"(4, 24)",72240,0.0019474379901351117,5539
582513.244143032,-2194915.19860364,417900,2024-01-06 02:05:00,1,-70.33824754041541,59.19772604538488,0.0019438149753365885,4.836805555555555,night,0,3.254700257303515e-05,4,"(4, 24)",72300,0.0019468140603199026,5539
582513.246091678,-2194915.19846765,417960,2024-01-06 02:06:00,1,-70.33824754100293,59.1977260973695,0.001944795754009086,4.8375,night,0,3.25814756769864e-05,4,"(4, 24)",72360,0.0019468573345355702,5539
582513.248041505,-2194915.1983029,418020,2024-01-06 02:07:00,1,-70.33824754184772,59.19772614941319,0.0019481718452042003,4.8381944444444445,night,0,3.250898025348493e-05,4,"(4, 24)",72420,0.0019467401870625328,5539
582513.249994317,-2194915.19821629,418080,2024-01-06 02:08:00,1,-70.33824754199142,59.197726201461165,0.001946133999460596,4.838888888888889,night,0,3.2539590764364844e-05,4,"(4, 24)",72480,0.0019460200010638685,5539
582513.251944631,-2194915.19814926,418140,2024-01-06 02:09:00,1,-70.3382475419605,59.197726253423845,0.0019428825483022234,4.839583333333334,night,0,3.259093950941108e-05,4,"(4, 24)",72540,0.0019447985389390828,5539
582513.253896825,-2194915.19803808,418200,2024-01-06 02:10:00,1,-70.33824754232457,59.197726305478994,0.0019467571814939554,4.840277777777778,night,0,3.251343279027275e-05,4,"(4, 24)",72600,0.0019454413744031023,5539
582513.255847134,-2194915.19792722,418260,2024-01-06 02:11:00,1,-70.33824754268636,59.19772635748371,0.0019448667652418481,4.840972222222222,night,0,3.261051612387357e-05,4,"(4, 24)",72660,0.001945488713916092,5539
582513.257800202,-2194915.19785334,418320,2024-01-06 02:12:00,1,-70.33824754271592,59.19772640952623,0.0019458676681470186,4.841666666666667,night,0,3.2526887975740816e-05,4,"(4, 24)",72720,0.0019452158718534993,5539
582513.259753945,-2194915.19779175,418380,2024-01-06 02:13:00,1,-70.33824754263513,59.197726461574916,0.0019461158308922046,4.842361111111111,night,0,3.2535968230046804e-05,4,"(4, 24)",72780,0.0019451781065108428,5539
582513.261706919,-2194915.1976705,418440,2024-01-06 02:14:00,1,-70.33824754308918,59.19772651366055,0.001948130003961871,4.843055555555556,night,0,3.2634038790505496e-05,4,"(4, 24)",72840,0.001946206560178838,5539
582513.263660696,-2194915.19757947,418500,2024-01-06 02:15:00,1,-70.33824754327215,59.19772656573844,0.0019472934463110924,4.84375,night,0,3.25381847386485e-05,4,"(4, 24)",72900,0.0019463289404947027,5539
582513.265612464,-2194915.19746984,418560,2024-01-06 02:16:00,1,-70.33824754362244,59.19772661778076,0.0019462466012029906,4.844444444444444,night,0,3.259540732548455e-05,4,"(4, 24)",72960,0.0019466073988818587,5539
582513.267564944,-2194915.19736486,418620,2024-01-06 02:17:00,1,-70.33824754393086,59.197726669837586,0.0019467012725210967,4.845138888888889,night,0,3.256809546975076e-05,4,"(4, 24)",73020,0.0019467904205190936,5539
582513.269517639,-2194915.19728113,418680,2024-01-06 02:18:00,1,-70.3382475440488,59.197726721879704,0.0019458938150787998,4.845833333333333,night,0,3.2471047945566525e-05,4,"(4, 24)",73080,0.001946807607584708,5539
582513.271470397,-2194915.19718378,418740,2024-01-06 02:19:00,1,-70.33824754428873,59.19772677393653,0.0019465821631337325,4.846527777777778,night,0,3.257890186604063e-05,4,"(4, 24)",73140,0.0019465212544214844,5539
582513.273424452,-2194915.19710039,418800,2024-01-06 02:20:00,1,-70.33824754440319,59.197726826014524,0.0019472326404104277,4.847222222222222,night,0,3.2642546079917854e-05,4,"(4, 24)",73200,0.0019465017566647948,5539
582513.275374632,-2194915.19695002,418860,2024-01-06 02:21:00,1,-70.33824754511905,59.19772687805379,0.001947368579243423,4.847916666666666,night,0,3.253973528348841e-05,4,"(4, 24)",73260,0.0019466008014528574,5539
582513.277325076,-2194915.19683231,418920,2024-01-06 02:22:00,1,-70.33824754554217,59.19772693006864,0.0019453981296494506,4.848611111111111,night,0,3.256877628270033e-05,4,"(4, 24)",73320,0.0019463321383920871,5539
582513.279274488,-2194915.19673395,418980,2024-01-06 02:23:00,1,-70.33824754579227,59.19772698203747,0.0019433084782420834,4.8493055555555555,night,0,3.248719226842259e-05,4,"(4, 24)",73380,0.0019458405141865897,5539
582513.281227614,-2194915.19662532,419040,2024-01-06 02:24:00,1,-70.33824754613318,59.19772703411496,0.0019475405501598324,4.85,night,0,3.258123456190595e-05,4,"(4, 24)",73440,0.0019460409651037094,5539
582513.283181585,-2194915.19649224,419100,2024-01-06 02:25:00,1,-70.33824754669288,59.1977270862385,0.0019498863059429208,4.850694444444445,night,0,3.2530755471190985e-05,4,"(4, 24)",73500,0.0019466150342985372,5539
582513.285134003,-2194915.19635616,419160,2024-01-06 02:26:00,1,-70.33824754727996,59.19772713832357,0.0019485480195458062,4.851388888888889,night,0,3.260402650697778e-05,4,"(4, 24)",73560,0.0019468847051296425,5539
582513.287084964,-2194915.19621731,419220,2024-01-06 02:27:00,1,-70.33824754789237,59.19772719037251,0.0019472941291105786,4.852083333333334,night,0,3.255693574382729e-05,4,"(4, 24)",73620,0.0019472478878981231,5539
582513.289036847,-2194915.19608333,419280,2024-01-06 02:28:00,1,-70.33824754846081,59.197727242441296,0.001947871267077961,4.852777777777778,night,0,3.253386519393526e-05,4,"(4, 24)",73680,0.0019481975734110012,5539
582513.290990651,-2194915.19596385,419340,2024-01-06 02:29:00,1,-70.33824754889872,59.19772729454733,0.0019488471204659348,4.853472222222222,night,0,3.256928679683631e-05,4,"(4, 24)",73740,0.0019484777703882225,5539
582513.292940963,-2194915.19585222,419400,2024-01-06 02:30:00,1,-70.33824754926741,59.19772734655281,0.0019449112902426434,4.854166666666667,night,0,3.253562315582151e-05,4,"(4, 24)",73800,0.0019474659818079307,5539
582513.294848057,-2194915.19613824,419460,2024-01-06 02:31:00,1,-70.33824754608706,59.19772739702592,0.0019199920793366097,4.854861111111111,night,0,3.254942671759521e-05,4,"(4, 24)",73860,0.0019347527124611995,5539
582513.296724398,-2194915.19668585,419520,2024-01-06 02:32:00,1,-70.33824754057272,59.19772744642904,0.001946167093722877,4.855555555555555,night,0,3.26120790231559e-05,4,"(4, 24)",73920,0.0019216838430641675,5539
582513.29859659,-2194915.19724717,419580,2024-01-06 02:33:00,1,-70.33824753493691,59.197727495708605,0.0019460852264394236,4.85625,night,0,3.259668753275092e-05,4,"(4, 24)",73980,0.0019176300524800561,5539
582513.300473263,-2194915.19779101,419640,2024-01-06 02:34:00,1,-70.33824752945625,59.19772754512425,0.0019454365807091217,4.856944444444444,night,0,3.262479612888494e-05,4,"(4, 24)",74040,0.0019229871393759046,5539
582513.302347676,-2194915.19834813,419700,2024-01-06 02:35:00,1,-70.33824752385736,59.19772759446697,0.0019470061183996493,4.857638888888889,night,0,3.253961763939595e-05,4,"(4, 24)",74100,0.0019380053877149127,5539
582513.304224033,-2194915.19889242,419760,2024-01-06 02:36:00,1,-70.33824751837277,59.197727643873755,0.0019452589784501578,4.858333333333333,night,0,3.251899496960361e-05,4,"(4, 24)",74160,0.0019459773286062962,5539
582513.306104226,-2194915.19942234,419820,2024-01-06 02:37:00,1,-70.33824751301573,59.197727693396466,0.0019449910367083229,4.8590277777777775,night,0,3.2594013168944125e-05,4,"(4, 24)",74220,0.0019457224969579895,5539
582513.307992706,-2194915.19992706,419880,2024-01-06 02:38:00,1,-70.33824750788177,59.1977277431639,0.0019462932583728819,4.8597222222222225,night,0,3.252964411571974e-05,4,"(4, 24)",74280,0.0019457097933853291,5539
582513.309869567,-2194915.20047534,419940,2024-01-06 02:39:00,1,-70.33824750236128,59.19772779258026,0.0019468521560816333,4.860416666666667,night,0,3.2554575887578985e-05,4,"(4, 24)",74340,0.0019459886332472709,5539
582513.31177305,-2194915.20092901,420000,2024-01-06 02:40:00,1,-70.33824749767989,59.19772784279598,0.0019482976081846195,4.861111111111111,night,0,3.255367670912747e-05,4,"(4, 24)",74400,0.0019460041092676135,5539
